id,trip_duration,start_time,stop_time,start_time_24hr,stop_time_24hr,start_time_weekday,stop_time_weekday,start_time_year,stop_time_year,start_time_month,stop_time_month,start_station_id,end_station_id,bike_id,user_type,birth_year,gender
104,235,12:20.5,16:15.5,17:12,17:16,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,110,26214,Subscriber,1974,1
105,689,14:03.9,25:33.7,17:14,17:25,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,140,29221,Subscriber,1969,0
106,386,18:34.8,25:01.7,17:18,17:25,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,67,29671,Subscriber,1981,1
107,337,19:55.7,25:32.7,17:19,17:25,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,1,29209,Subscriber,1980,1
108,359,23:53.8,29:53.4,17:23,17:29,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,1,26248,Subscriber,1973,1
109,1609,31:24.2,58:13.5,17:31,17:58,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,7,29539,Subscriber,1976,1
110,161,32:23.6,35:04.7,17:32,17:35,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,65,26270,Subscriber,1987,1
111,404,36:52.1,43:36.7,17:36,17:43,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,67,26307,Customer,1969,0
112,585,41:10.1,50:55.7,17:41,17:50,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,98,26238,Subscriber,1982,1
113,298,00:42.4,05:41.4,18:00,18:05,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,188,26239,Subscriber,1980,1
114,236,01:30.7,05:27.0,18:01,18:05,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,32,29496,Subscriber,1984,2
115,156,03:21.6,05:58.3,18:03,18:05,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,13,26243,Subscriber,1993,1
116,395,04:19.7,10:55.3,18:04,18:10,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,84,29252,Subscriber,1982,1
117,236,12:31.2,16:28.1,18:12,18:16,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,110,26210,Subscriber,1955,1
118,147,20:09.1,22:36.8,18:20,18:22,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,52,26316,Subscriber,1984,1
119,1681,23:14.7,51:16.0,18:23,18:51,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,69,29197,Subscriber,1971,2
120,182,26:13.5,29:16.2,18:26,18:29,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,13,29496,Subscriber,1979,1
121,85,34:15.0,35:40.7,18:34,18:35,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,143,26298,Subscriber,1985,1
122,304,34:21.5,39:26.5,18:34,18:39,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,110,29300,Subscriber,1994,2
123,152,48:55.9,51:28.5,18:48,18:51,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,52,26270,Subscriber,1987,1
124,250,49:34.8,53:45.7,18:49,18:53,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,155,29246,Subscriber,1975,1
125,245,58:57.6,03:03.1,18:58,19:03,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,110,26293,Subscriber,1983,1
